rank	byte_length	string_table_offset	file_offset	string_json
1	301	124883	6264707	"__ZN3mlt5LayerC1ENSt3__112basic_stringIcNS1_11char_traitsIcEENS1_9allocatorIcEEEEjONS1_10unique_ptrINS_8geometry14GeometryVectorENS1_14default_deleteISA_EEEENS1_6vectorINS_7FeatureENS5_ISG_EEEENS1_13unordered_mapIS7_NS_17PresentPropertiesENS1_4hashIS7_EENS1_8equal_toIS7_EENS5_INS1_4pairIKS7_SK_EEEEEE"
2	301	125185	6265009	"__ZN3mlt5LayerC2ENSt3__112basic_stringIcNS1_11char_traitsIcEENS1_9allocatorIcEEEEjONS1_10unique_ptrINS_8geometry14GeometryVectorENS1_14default_deleteISA_EEEENS1_6vectorINS_7FeatureENS5_ISG_EEEENS1_13unordered_mapIS7_NS_17PresentPropertiesENS1_4hashIS7_EENS1_8equal_toIS7_EENS5_INS1_4pairIKS7_SK_EEEEEE"
3	289	72051	6211875	"__ZN3MTL7Private8Selector260s_kdrawIndexedPatches_patchStart_patchCount_patchIndexBuffer_patchIndexBufferOffset_controlPointIndexBuffer_controlPointIndexBufferOffset_instanceCount_baseInstance_tessellationFactorBuffer_tessellationFactorBufferOffset_tessellationFactorBufferInstanceStride_E"
4	245	124253	6264077	"__ZN3mlt17PresentPropertiesC1ENS_8metadata7tileset6schema10ScalarTypeENSt3__17variantIJNS5_6vectorIhNS5_9allocatorIhEEEENS7_IjNS8_IjEEEENS7_IyNS8_IyEEEENS7_IiNS8_IiEEEENS7_IxNS8_IxEEEENS7_IfNS8_IfEEEENS7_IdNS8_IdEEEENS_15StringDictViewsEEEERKSA_"
5	245	124499	6264323	"__ZN3mlt17PresentPropertiesC2ENS_8metadata7tileset6schema10ScalarTypeENSt3__17variantIJNS5_6vectorIhNS5_9allocatorIhEEEENS7_IjNS8_IjEEEENS7_IyNS8_IyEEEENS7_IiNS8_IiEEEENS7_IxNS8_IxEEEENS7_IfNS8_IfEEEENS7_IdNS8_IdEEEENS_15StringDictViewsEEEERKSA_"
6	228	55917	6195741	"__ZN3MTL7Private8Selector199s_kdrawPatches_patchStart_patchCount_patchIndexBuffer_patchIndexBufferOffset_instanceCount_baseInstance_tessellationFactorBuffer_tessellationFactorBufferOffset_tessellationFactorBufferInstanceStride_E"
7	194	49326	6189150	"__ZN3MTL7Private8Selector165s_kdrawIndexedPatches_patchStart_patchCount_patchIndexBuffer_patchIndexBufferOffset_controlPointIndexBuffer_controlPointIndexBufferOffset_instanceCount_baseInstance_E"
8	181	47252	6187076	"__ZN3MTL7Private8Selector152s_kdrawIndexedPatches_patchIndexBuffer_patchIndexBufferOffset_controlPointIndexBuffer_controlPointIndexBufferOffset_indirectBuffer_indirectBufferOffset_E"
9	179	46892	6186716	"__ZN3MTL7Private8Selector150s_kcopyFromBuffer_sourceOffset_sourceBytesPerRow_sourceBytesPerImage_sourceSize_toTexture_destinationSlice_destinationLevel_destinationOrigin_options_E"
10	179	47072	6186896	"__ZN3MTL7Private8Selector150s_kcopyFromTexture_sourceSlice_sourceLevel_sourceOrigin_sourceSize_toBuffer_destinationOffset_destinationBytesPerRow_destinationBytesPerImage_options_E"
11	173	45299	6185123	"__ZN3MTL7Private8Selector144s_kmoveTextureMappingsFromTexture_sourceSlice_sourceLevel_sourceOrigin_sourceSize_toTexture_destinationSlice_destinationLevel_destinationOrigin_E"
12	171	44955	6184779	"__ZN3MTL7Private8Selector142s_kcopyFromBuffer_sourceOffset_sourceBytesPerRow_sourceBytesPerImage_sourceSize_toTexture_destinationSlice_destinationLevel_destinationOrigin_E"
13	171	45127	6184951	"__ZN3MTL7Private8Selector142s_kcopyFromTexture_sourceSlice_sourceLevel_sourceOrigin_sourceSize_toBuffer_destinationOffset_destinationBytesPerRow_destinationBytesPerImage_E"
14	159	125525	6265349	"__ZN3mlt7Decoder4Impl12makeFeaturesERKNSt3__16vectorIyNS2_9allocatorIyEEEEONS3_INS2_10unique_ptrINS_8geometry8GeometryENS2_14default_deleteISB_EEEENS4_ISE_EEEE"
15	158	41925	6181749	"__ZN3MTL7Private8Selector129s_kcopyFromTexture_sourceSlice_sourceLevel_sourceOrigin_sourceSize_toTexture_destinationSlice_destinationLevel_destinationOrigin_E"
16	149	41775	6181599	"__ZN3MTL7Private8Selector120s_kloadTexture_slice_level_size_sourceBytesPerRow_sourceBytesPerImage_destinationOrigin_sourceHandle_sourceHandleOffset_E"
17	149	127368	6267192	"__ZZN3mlt7decoder14IntegerDecoder14decodeIntArrayIjNS_8metadata7tileset12GeometryTypeEEEvPKT_mPT0_mRKNS3_6stream14StreamMetadataEbENUljE0_8__invokeEj"
18	149	127518	6267342	"__ZZN3mlt7decoder14IntegerDecoder14decodeIntArrayIjNS_8metadata7tileset12GeometryTypeEEEvPKT_mPT0_mRKNS3_6stream14StreamMetadataEbENUljE1_8__invokeEj"
19	149	127668	6267492	"__ZZN3mlt7decoder14IntegerDecoder14decodeIntArrayIjNS_8metadata7tileset12GeometryTypeEEEvPKT_mPT0_mRKNS3_6stream14StreamMetadataEbENUljE2_8__invokeEj"
20	148	127818	6267642	"__ZZN3mlt7decoder14IntegerDecoder14decodeIntArrayIjNS_8metadata7tileset12GeometryTypeEEEvPKT_mPT0_mRKNS3_6stream14StreamMetadataEbENUljE_8__invokeEj"
21	146	40628	6180452	"__ZN3MTL7Private8Selector117s_kdrawMeshThreadgroupsWithIndirectBuffer_indirectBufferOffset_threadsPerObjectThreadgroup_threadsPerMeshThreadgroup_E"
22	143	40340	6180164	"__ZN3MTL7Private8Selector114s_kdrawIndexedPrimitives_indexCount_indexType_indexBuffer_indexBufferLength_instanceCount_baseVertex_baseInstance_E"
23	143	40484	6180308	"__ZN3MTL7Private8Selector114s_kdrawIndexedPrimitives_indexCount_indexType_indexBuffer_indexBufferOffset_instanceCount_baseVertex_baseInstance_E"
24	138	39694	6179518	"__ZN3MTL7Private8Selector109s_kcopyFromTexture_sourceSlice_sourceLevel_toTexture_destinationSlice_destinationLevel_sliceCount_levelCount_E"
25	137	124745	6264569	"__ZN3mlt4util8decoding3rle13decodeBooleanERNS_12BufferStreamERNSt3__16vectorIhNS5_9allocatorIhEEEERKNS_8metadata6stream14StreamMetadataEb"
26	133	39426	6179250	"__ZN3MTL7Private8Selector104s_kdrawPatches_patchStart_patchCount_patchIndexBuffer_patchIndexBufferOffset_instanceCount_baseInstance_E"
27	133	39560	6179384	"__ZN3MTL7Private8Selector104s_knewComputePipelineStateWithDescriptor_dynamicLinkingDescriptor_compilerTaskOptions_completionHandler_E"
28	132	39293	6179117	"__ZN3MTL7Private8Selector103s_knewRenderPipelineStateWithDescriptor_dynamicLinkingDescriptor_compilerTaskOptions_completionHandler_E"
29	130	39162	6178986	"__ZN3MTL7Private8Selector101s_kdrawIndexedPrimitives_indexType_indexBuffer_indexBufferOffset_indirectBuffer_indirectBufferOffset_E"
30	129	39032	6178856	"__ZN3MTL7Private8Selector100s_kgetTextureAccessCounters_region_mipLevel_slice_resetCounters_countersBuffer_countersBufferOffset_E"
31	125	123498	6263322	"__ZN3MTL7Private8Selector97s_kcopyFromTensor_sourceOrigin_sourceDimensions_toTensor_destinationOrigin_destinationDimensions_E"
32	124	123373	6263197	"__ZN3MTL7Private8Selector96s_kdrawMeshThreadgroupsWithIndirectBuffer_threadsPerObjectThreadgroup_threadsPerMeshThreadgroup_E"
